,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
97,95335509,Shared room,0,0,1,1,14,53.337379,-6.296335
98,56802742,Shared room,0,0,1,1,27,53.336314,-6.281526
99,10735720,Shared room,25,5,1,1,23,53.361678,-6.257851
100,60878455,Shared room,2,0,2,1,24,53.294478,-6.141978
101,132368827,Shared room,0,0,1,1,36,53.353173,-6.259826
102,23025346,Shared room,7,5,2,1,35,53.397848,-6.157256
103,22192878,Shared room,10,4.5,2,1,36,53.38098,-6.216785
104,25892759,Shared room,19,4,1,1,36,53.350218,-6.271579
105,107775468,Shared room,0,0,1,1,39,53.350822,-6.279773
106,57792879,Shared room,1,0,1,1,24,53.28966,-6.202531
107,67165732,Shared room,0,0,1,1,27,53.358991,-6.259665
108,32030815,Shared room,7,4.5,1,1,34,53.341547,-6.255787
109,124895830,Shared room,0,0,1,1,25,53.352612,-6.274765
110,25215165,Shared room,11,5,1,1,24,53.355477,-6.257361
111,62777287,Shared room,9,4.5,6,1,22,53.407872,-6.288592
112,95703483,Shared room,2,0,1,1,38,53.356001,-6.245838
113,25909089,Shared room,8,4,1,1,30,53.352853,-6.242367
114,37209255,Shared room,0,0,1,1,24,53.331048,-6.274984
115,40814004,Shared room,10,5,1,1,24,53.377607,-6.236128
116,20565709,Shared room,7,4,1,1,25,53.332255,-6.29097
117,70532746,Shared room,0,0,1,1,36,53.303618,-6.234473
118,133511515,Shared room,4,5,1,1,30,53.359228,-6.258281
119,27953393,Shared room,6,4.5,2,1,36,53.376676,-6.318276
120,50271092,Shared room,16,4.5,3,1,24,53.332331,-6.290918
121,74793173,Shared room,0,0,2,1,28,53.308154,-6.248934
122,127557246,Shared room,0,0,1,1,16,53.339666,-6.280299
123,10362661,Shared room,3,5,1,1,28,53.342415,-6.326002
124,29088762,Shared room,26,4.5,1,1,30,53.351127,-6.274881
125,105817811,Shared room,5,4,1,1,20,53.358884,-6.272786
126,16164957,Shared room,0,0,1,1,22,53.342652,-6.29468
127,98015766,Shared room,0,0,1,1,24,53.355014,-6.266266
128,9767829,Shared room,27,4.5,1,1,30,53.360238,-6.263915
129,35687781,Shared room,19,4.5,2,1,21,53.377182,-6.310522
130,22627546,Shared room,14,4.5,1,1,35,53.355943,-6.252272
131,89743027,Shared room,8,4.5,1,1,23,53.366211,-6.259525
132,47465882,Shared room,5,4.5,1,1,20,53.344361,-6.282827
133,47251894,Shared room,0,0,1,1,30,53.360153,-6.246089
134,77058640,Shared room,4,4.5,1,1,24,53.356142,-6.265257
135,85540361,Shared room,41,4.5,1,1,30,53.356553,-6.24748
136,10735720,Shared room,18,5,1,1,30,53.362675,-6.258148
137,134600976,Shared room,0,0,1,1,28,53.3503,-6.262529
138,63215919,Shared room,10,5,2,1,31,53.351863,-6.273439
139,28301268,Shared room,3,5,1,1,30,53.337832,-6.275824
140,66097911,Shared room,0,0,1,1,24,53.309408,-6.215367
141,140983927,Shared room,0,0,3,1,23,53.383311,-6.232821
142,81920394,Shared room,0,0,1,1,18,53.348637,-6.278133
143,78799900,Shared room,2,0,1,1,30,53.355476,-6.261024
144,18579356,Shared room,11,5,1,1,18,53.353571,-6.26907
145,100001637,Shared room,3,5,1,1,24,53.355952,-6.265213
146,69818379,Shared room,3,5,2,1,35,53.323197,-6.256554
147,85023250,Shared room,46,4.5,1,1,30,53.356069,-6.255495
148,49285632,Shared room,31,4.5,1,1,30,53.358416,-6.267588
149,94365486,Shared room,22,4.5,1,1,21,53.345885,-6.253639
150,124895830,Shared room,4,5,1,1,32,53.351242,-6.274566
151,50271092,Shared room,3,4.5,2,1,31,53.351108,-6.243225
152,87272841,Shared room,0,0,2,1,29,53.353571,-6.251721
153,91479999,Shared room,70,5,1,1,36,53.348585,-6.271999
154,122029189,Shared room,11,4.5,1,1,14,53.349842,-6.276894
155,22055340,Shared room,46,5,1,1,36,53.352643,-6.258656
156,90190511,Shared room,15,4.5,1,1,30,53.348283,-6.278851
157,26482286,Entire home/apt,27,4.5,8,2,108,53.354223,-6.258906
158,22150065,Entire home/apt,31,4,6,1,96,53.358922,-6.243671
159,121462849,Entire home/apt,0,0,6,4,77,53.296711,-6.279251
160,17742485,Entire home/apt,11,4,4,2,598,53.350793,-6.258065
161,110773909,Entire home/apt,3,5,8,5,599,53.367876,-6.258313
162,95248626,Entire home/apt,1,0,10,3,599,53.340248,-6.267126
163,3957529,Entire home/apt,0,0,4,3,336,53.331654,-6.214432
164,4749444,Entire home/apt,11,5,6,3,312,53.350435,-6.241029
165,63064641,Entire home/apt,0,0,7,3,402,53.300549,-6.237783
166,96792779,Entire home/apt,0,0,7,4,312,53.277662,-6.10835
167,10157656,Entire home/apt,4,2.5,8,4,324,53.359436,-6.271211
168,11211199,Entire home/apt,112,5,6,3,359,53.342306,-6.235897
169,6584466,Entire home/apt,0,0,6,0,359,53.348995,-6.243966
170,2856748,Entire home/apt,0,0,2,1,336,53.349001,-6.278965
171,14474195,Entire home/apt,2,0,2,1,330,53.339261,-6.273382
172,4749444,Entire home/apt,8,4.5,6,3,310,53.324986,-6.258979
173,2856748,Entire home/apt,0,0,5,2,480,53.336426,-6.250774
174,9441450,Entire home/apt,0,0,10,6,359,53.330002,-6.271206
175,22815147,Entire home/apt,72,5,6,3,342,53.348074,-6.242888
176,79260517,Entire home/apt,10,5,8,3,480,53.344816,-6.238874
177,19603950,Entire home/apt,0,0,6,3,396,53.332625,-6.222549
178,138914934,Entire home/apt,0,0,6,3,336,53.362553,-6.249266
179,5377252,Entire home/apt,0,0,4,2,480,53.333382,-6.264078
180,119838101,Entire home/apt,0,0,5,2,480,53.327127,-6.264789
181,78801486,Entire home/apt,10,5,8,2,420,53.345637,-6.2376
182,22801049,Entire home/apt,8,5,8,2,480,53.342105,-6.263379
183,43854610,Entire home/apt,29,5,7,3,327,53.338521,-6.273437
184,8886946,Entire home/apt,38,5,6,3,493,53.337475,-6.250786
185,41200286,Entire home/apt,0,0,6,3,420,53.327231,-6.208477
186,19170853,Entire home/apt,16,5,6,3,359,53.323855,-6.280959
187,37111327,Entire home/apt,44,4.5,12,6,474,53.358725,-6.281368
188,26980817,Entire home/apt,24,5,8,4,456,53.309115,-6.23655
189,135416876,Entire home/apt,0,0,4,2,384,53.336474,-6.251677
190,20463397,Entire home/apt,4,5,5,2,324,53.32648,-6.264324
191,20972991,Entire home/apt,18,5,9,3,480,53.355305,-6.250504
192,2018039,Entire home/apt,0,0,6,3,359,53.343983,-6.268982
193,141116155,Entire home/apt,0,0,6,4,420,53.295669,-6.23646
194,119159174,Entire home/apt,1,0,5,2,480,53.337008,-6.280578
195,12574427,Entire home/apt,31,5,4,2,359,53.334427,-6.270369
196,64202703,Entire home/apt,3,4.5,4,2,359,53.345245,-6.235138
197,30912520,Entire home/apt,71,5,10,4,359,53.339025,-6.252862
198,23074368,Entire home/apt,3,5,8,5,216,53.242663,-6.127434
199,19380466,Entire home/apt,16,4.5,2,1,215,53.361242,-6.19237
200,22150065,Entire home/apt,11,4.5,11,2,252,53.392339,-6.229621
201,22815147,Entire home/apt,14,5,4,1,222,53.274894,-6.10131
202,89044569,Entire home/apt,1,0,5,2,192,53.377167,-6.32564
203,5550624,Entire home/apt,1,0,6,4,192,53.337957,-6.280514
204,41314674,Entire home/apt,6,5,4,2,192,53.337644,-6.28589
205,33798551,Entire home/apt,12,4.5,7,3,192,53.285502,-6.201792
206,27799290,Entire home/apt,15,5,4,2,192,53.276294,-6.307189
207,11180798,Entire home/apt,12,4.5,6,3,191,53.323369,-6.284315
208,2673312,Entire home/apt,22,4.5,4,2,192,53.341714,-6.275397
209,26910752,Entire home/apt,0,0,7,4,204,53.23753,-6.11236
210,10092333,Entire home/apt,5,4.5,4,2,192,53.342962,-6.297002
211,7996626,Entire home/apt,11,5,5,3,198,53.338692,-6.329076
212,24141249,Entire home/apt,18,4.5,4,2,186,53.314894,-6.264447
213,17007882,Entire home/apt,32,5,5,3,204,53.368152,-6.230437
214,36364344,Entire home/apt,12,5,5,3,201,53.335518,-6.230125
215,1189146,Entire home/apt,74,4.5,6,2,192,53.333038,-6.259817
216,43529077,Entire home/apt,9,4.5,4,1,204,53.333978,-6.276768
217,20156544,Entire home/apt,0,0,6,4,173,53.263274,-6.223432
218,37851067,Entire home/apt,0,0,6,3,156,53.288428,-6.171368
219,124289174,Entire home/apt,0,0,7,3,130,53.272173,-6.327659
220,67495143,Entire home/apt,3,5,5,3,132,53.244982,-6.118703
221,1607377,Entire home/apt,71,5,4,1,129,53.337645,-6.260778
222,100647372,Entire home/apt,16,5,8,3,119,53.339933,-6.300964
223,29688121,Entire home/apt,1,0,3,1,107,53.328001,-6.248628
224,2768357,Entire home/apt,2,0,2,2,96,53.286421,-6.12941
225,23140571,Entire home/apt,0,0,2,1,90,53.339101,-6.2352
226,6518465,Entire home/apt,11,4.5,2,1,93,53.328307,-6.221151
227,94763078,Entire home/apt,38,4,4,1,103,53.349775,-6.267191
228,11449156,Entire home/apt,8,5,2,1,102,53.303781,-6.309676
229,44038066,Entire home/apt,0,0,6,3,98,53.346433,-6.442844
230,76621060,Entire home/apt,2,0,3,2,102,53.405275,-6.171521
231,8621568,Entire home/apt,24,5,2,1,95,53.285493,-6.126997
232,41651018,Entire home/apt,1,0,6,3,66,53.362354,-6.307675
233,81434536,Entire home/apt,0,0,4,2,72,53.322413,-6.253941
234,4986267,Entire home/apt,0,0,4,3,66,53.389106,-6.170144
235,15389620,Entire home/apt,0,0,4,3,63,53.325722,-6.260146
236,28081554,Entire home/apt,0,0,2,1,64,53.339955,-6.276991
237,62367776,Entire home/apt,0,0,4,1,70,53.340914,-6.333466
238,41816381,Entire home/apt,0,0,2,2,66,53.342644,-6.27754
239,135899921,Entire home/apt,2,0,4,2,72,53.348563,-6.242278
240,54354890,Entire home/apt,0,0,2,1,66,53.304422,-6.202402
241,54093047,Entire home/apt,0,0,3,1,72,53.357086,-6.261553
242,14022912,Entire home/apt,0,0,4,2,64,53.284821,-6.376656
243,9026665,Entire home/apt,31,4.5,2,1,78,53.388172,-6.244844
244,111966633,Entire home/apt,28,4.5,6,1,65,53.35658,-6.252002
245,46725090,Entire home/apt,0,0,2,1,79,53.342526,-6.227141
246,14575018,Entire home/apt,10,4.5,2,0,72,53.321437,-6.265372
247,15178854,Entire home/apt,1,0,2,1,72,53.323639,-6.259242
248,1929635,Entire home/apt,0,0,2,1,81,53.29703,-6.164194
249,34203724,Entire home/apt,34,4.5,2,1,78,53.315244,-6.312896
250,129536740,Entire home/apt,10,5,2,0,72,53.312537,-6.271674
251,60819658,Entire home/apt,43,4.5,4,2,72,53.353978,-6.248561
252,22304411,Entire home/apt,5,5,3,1,68,53.323156,-6.311881
